network_index,iso3
0,ABW
1,AFG
2,AGO
3,AIA
4,ALB
5,ARE
6,ARG
7,ARM
8,ASM
9,ATA
10,ATF
11,ATG
12,AUS
13,AUT
14,AZE
15,BDI
16,BEL
17,BEN
18,BFA
19,BGD
20,BGR
21,BHR
22,BHS
23,BIH
24,BLR
25,BLZ
26,BMU
27,BOL
28,BRA
29,BRB
30,BRN
31,BTN
32,BVT
33,BWA
34,CAF
35,CAN
36,CCK
37,CHE
38,CHL
39,CHN
40,CIV
41,CMR
42,COD
43,COG
44,COK
45,COL
46,COM
47,CPV
48,CRI
49,CUB
50,CXR
51,CYM
52,CYP
53,CZE
54,DEU
55,DJI
56,DMA
57,DNK
58,DOM
59,DZA
60,ECU
61,EGY
62,ERI
63,ESH
64,ESP
65,EST
66,ETH
67,FIN
68,FJI
69,FLK
70,FRA
71,FRO
72,FSM
73,GAB
74,GBR
75,GEO
76,GHA
77,GIB
78,GIN
79,GNB
80,GNQ
81,GRC
82,GRD
83,GRL
84,GTM
85,GUF
86,GUM
87,GUY
88,HMD
89,HND
90,HRV
91,HTI
92,HUN
93,IDN
94,IND
95,IOT
96,IRL
97,IRN
98,IRQ
99,ISL
100,ISR
101,ITA
102,JAM
103,JOR
104,JPN
105,KAZ
106,KEN
107,KGZ
108,KHM
109,KIR
110,KOR
111,KWT
112,LAO
113,LBN
114,LBR
115,LBY
116,LCA
117,LIE
118,LKA
119,LSO
120,LTU
121,LUX
122,LVA
123,MAR
124,MDA
125,MDG
126,MDV
127,MEX
128,MHL
129,MKD
130,MLI
131,MLT
132,MMR
133,MNE
134,MNG
135,MNP
136,MOZ
137,MRT
138,MSR
139,MUS
140,MWI
141,MYS
142,NAM
143,NCL
144,NER
145,NFK
146,NGA
147,NIC
148,NIU
149,NLD
150,NOR
151,NPL
152,NRU
153,NZL
154,OMN
155,PAK
156,PAN
157,PCN
158,PER
159,PHL
160,PLW
161,PNG
162,POL
163,PRI
164,PRK
165,PRT
166,PRY
167,PSE
168,PYF
169,QAT
170,ROU
171,RUS
172,RWA
173,SAU
174,SDN
175,SEN
176,SGP
177,SGS
178,SHN
179,SJM
180,SLB
181,SLE
182,SLV
183,SMR
184,SOM
185,SPM
186,SRB
187,SSD
188,STP
189,SUR
190,SVK
191,SVN
192,SWE
193,SWZ
194,SYC
195,SYR
196,TCA
197,TCD
198,TGO
199,THA
200,TJK
201,TKL
202,TKM
203,TLS
204,TON
205,TTO
206,TUN
207,TUR
208,TUV
209,TWN
210,TZA
211,UGA
212,UKR
213,UMI
214,URY
215,USA
216,UZB
217,VCT
218,VEN
219,VGB
220,VIR
221,VNM
222,VUT
223,WLF
224,WSM
225,YEM
226,ZAF
227,ZMB
228,ZWE
